id,age,tissue,num_sites,ave depth,ave methylation,ave methylation > 2 depth,ave methylation > 5 depth
GSM2465619_M00018362,41wk,Cortex,4121662,14.977096375200102,38.71577219817293,37.048570946535825,38.04565780154863
GSM2465627_M00018381,41wk,Cortex,4165468,15.123177515707718,37.68155904724308,36.10274827983781,37.03438797060552
GSM2465628_M00018381,41wk,Heart,3917926,12.73110033216554,35.657431798638896,34.545901107311416,35.69014280940905
GSM2465618_M00018359,41wk,Lung,3994127,13.63118849250412,37.36512872245773,36.30336054257138,38.73844570423266
GSM2465617_M00018359,41wk,Liver,4251469,8.11405351891311,40.62513064955077,36.3826380001361,38.77573925422405
GSM2465625_M00018363,41wk,Liver,4546773,16.950071842161464,39.21650776554253,35.29017910270822,35.73828808493611
GSM2465621_M00018362,41wk,Liver,3823093,5.591819764782076,38.6108372709224,35.921887532643964,38.46112288013785
GSM2465616_M00018359,41wk,Heart,4277548,14.49822234607303,36.996101016354366,34.58471170702276,35.89151201650456
GSM2465629_M00018381,41wk,Liver,3941176,6.002234358475745,39.283385558795956,37.02729464438069,40.52324274161627
GSM2465630_M00018381,41wk,Lung,4030714,13.58965880486683,36.746635754274415,35.558433371012455,37.58264112946382
GSM2465626_M00018363,41wk,Lung,4210256,25.553272532596594,36.12774332501968,34.4699232046051,35.334317767234374
GSM2465620_M00018362,41wk,Heart,4572977,13.387098163843815,38.420206724598856,34.90190626185943,36.381227922534805
GSM2465624_M00018363,41wk,Heart,4348186,17.300112276705736,36.62972289141202,34.20918834068093,35.23278991235364
GSM2465622_M00018362,41wk,Lung,3980174,12.756364922739559,36.45503919853398,35.21399208717904,36.593347604041675
GSM2465623_M00018363,41wk,Cortex,4078447,14.662973430818152,37.68994439921813,36.1390432024842,36.96051627513135
